User Text,ID,Admiration,Approval,Caring,Desire,Curiosity,Excitement,Gratitude,Joy,Love,Optimism,Pride,Relief,Anger,Annoyance,Disappointment,Disapproval,Embarrassment,Grief,Nervousness,Remorse,Sadness,Confusion,Fear,Realization,Surprise,Negative,Positive,Neutral,Context,Desired Art,Model Response,Comfort,Inspire,Encourage,Balance,Redirect,Calm,Empathize,ArtID
I am feeling angry.,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,User is feeling violated and needs to process those emotions.,"User is seeking art that will encourage reflection on what is going well in their life, and motivate them to move through what they are feeling at their own pace. Art that will soothe.",,,,,,,,,
I am feeling angry.,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,User is feeling violated and needs to process those emotions.,"User is seeking art that will encourage reflection on what is going well in their life, and motivate them to move through what they are feeling at their own pace. Art that will soothe.",,,,,,,,,
I am feeling annoyed.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,User is destabilized from an event and needs support to feel balanced again.,"User is seeking art that will encourage reflection on what is going well in their life, and motivate them to move through what they are feeling at their own pace. Art that will soothe.",,,,,,,,,
I am feeling bad.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,"User is seeking art that will encourage reflection on what is going well in their life, and motivate them to move through what they are feeling at their own pace. Art that will soothe and encourage.",,,,,,,,,
I am feeling bummed.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,User is needing to process some negative emotions.,,,,,,,,,,
I am feeling curious.,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,User is feeling curious and full of thoughts period.,User is seeking art that challenges thinking and provokes thought.,,,,,,,,,
I am feeling depressed.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,,,,,,,,,
I am feeling eager.,,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,User is ready to take on their goals.,,,,,,,,,,
I am feeling excited.,,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User is happy and ready for whatever they are about to do.,User is seeking art that has movement and energy; keeping them motivated. ,,,,,,,,,
I am feeling exhausted and sad.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"User is needing to find rest, balance, and support to process the negative feelings.","User is seeking art that will motivate, encourage, and energize them to move through the rest of the day. Something with energy, that will also balance them.",,,,,,,,,
I am feeling exhausted.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,User is needing to find rest and balance.,"User is seeking art that will motivate, and energize them to move through the rest of the day. Something with movement and energy!",,,,,,,,,
I am feeling frustrated.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,User is possibly feeling unseen and/or unheard. Needing to feel supported and heard.,User is seeking art that will help them feel less stuck in a cycle.,You can really suck to feel stuck on something. Maybe it's a good idea to take a walk? I invite you to take a look at this art.,,,,,,,,
I am feeling good.,,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User is generally feeling well.,User is seeking art that keeps them motivated. ,,,,,,,,,
I am feeling hopeful.,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User is in the middle of their day; feeling hopeful possibly due to some positive news or event during the day.,,,,,,,,,,
I am feeling hungry.,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,User is finding it difficult to take care of their needs and could use some support in gaining energy to take care of themselves.,,,,,,,,,,
I am feeling insecure.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation.,User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales. References of self love and care.,,,,,,,,,
I am feeling loved.,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,0,1,0,"User is feeling appreciated, loved, and supported.",,,,,,,,,,
I am feeling low.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,,,,,,,,,
I am feeling melancholy.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs encouragement.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,,,,,,,,,
I am feeling motivated.,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,0,1,0,User is happy and ready for whatever they are about to do.,User is seeking art that keeps them motivated. ,,,,,,,,,
I am feeling nostalgic.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,User is reflecting on the past and having positive thoughts along with the memories.,,,,,,,,,,
I am feeling nostalgic.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,User is reflecting on the past but having some negative thoughts along with the memories.,,,,,,,,,,
I am feeling sad.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,,1,0,0,1,1,0,1,
I am feeling safe.,,,,1,,,,,,,,,1,,,,,,,,,,,,,,0,1,0,User is feeling supported and cared for.,,,,,,,,,,
I am feeling stressed.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,1,,,1,1,,,1,0,0,User if feeling overwhelmed and emotionally low.,User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales.,,,,,,,,,
I am feeling tired.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,"User is needing to find rest, balance, and a quiet space.",User is seeking art that will recharge and balance them.,Now is the time for rest care and relaxation. May these pieces of art invite you to a place of recharge.,,,,,,,,
I am feeling unsafe.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,1,0,0,User is feeling unsafe and is in need of comfort and a sense of safety.,User is seeking art that will bring them security and stabilization.,Losing one’s sense of safety is never a good feeling. May I invite you to find a safe space where this art is located?,,,,,,,,
I am feeling weary.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,User is feeling unsure about the day and doesn't know what to do.,,,,,,,,,,
I am feeling wistful.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,User is feeling regretful about the past. ,,,,,,,,,,
I am hoping for a better world.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User finds the injustices of the world to be overwhelming; but still finds hope and motivation to fight for what they believe in.,,"It would truly be nice to live in the world that respects all life and people. Although it seems daunting, we can certainly gather his community in conquer of our problems without the hand of fascism. We will get there.",,,,,,,,
I am mad!,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is feeling violated and needs to process those emotions.,"User is seeking art that will encourage reflection on what is going well in their life, and motivate them to move through what they are feeling at their own pace. Art that will soothe.",,0,0,0,0,1,1,0,
I am yearning for a better world.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User finds the injustices of the world to be overwhelming; but still finds hope and motivation to fight for what they believe in.,,"It would truly be nice to live in the world that respects all life and people. Although it seems daunting, we can certainly gather his community in conquer of our problems without the hand of fascism.",,,,,,,,
I enjoyed going out.,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I feel anxious!,,0,0,0,0,,0,0,0,0,0,0,0,,1,,,,,1,,,1,1,,,1,0,0,User if feeling overwhelmed and emotionally low. ,User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales.,Losing one’s sense of stability can be a terrible feeling. May I invite you to look at some art that can help you stabilize?,,,,,,,,
I feel anxious.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,1,,,1,1,,,1,0,0,User if feeling overwhelmed and emotionally low.,User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales.,,,,,,,,,
I feel grateful.,,,,,,,,1,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User is reflecting on the positivity in their life.,,Gratitude is the key to happiness.,,,,,,,,BEghMxjPmigKpRUY0B6x
I feel nostalgic thinking about the past.,,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,1,,,,1,,1,1,1,User is thinking about the past and feeling reflective. ,,Let this artwork take you on a journey through memories.,,,,,,,,VTD3CSIMGUjmszBwGsij
I feel ready for anything!,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0,1,0,User is feeling confident and ready to take on anything. ,User is seeking art with energy and movement that motivates them to live life to the fullest!,I hope this art can be an extra charge to your energy!,,,,,,,,TbdFRlmPgNrWwrD5jyjM
I feel so calm and serene right now.,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0,1,0,User is feeling at peace and balanced.,,Enjoy this piece that perfectly captures the tranquility you're feeling.,,,,,,,,HfFQTCaopQ8cK8mCXY4H
I hope I pass the test!,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,0,1,0,User has a test coming up and they are feeling mostly positive about what the outcome will be.,"User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.",,,,,,,,,
I hope I pass the test.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,1,,,0,0,1,User has a test coming up and they are feeling negative about what the outcome will be.,,,,,,,,,,
I hope I pass the test…,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,1,,,1,0,1,User has a test coming up and they are feeling negative about what the outcome will be.,,,,,,,,,,
I learned something interesting today!,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I love being queer!,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,0,1,0,"User identifies as queer and is happy and proud to express themselves and be themselves. They are seeking validation, solidarity and encouragement.",,Yes!! Pride! It’s so beautiful to love oneself. This is the foundation of happiness.,,,,,,,,"ttM3fSlVBEKsBKgpDDFy, BEghMxjPmigKpRUY0B6x"
I love my boyfriend!,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling a lot of love for their boyfriend.,,"Aw, I am happy of you. Here’s some art that will hopefully make your heart swell.",,,,,,,,"ttM3fSlVBEKsBKgpDDFy, BEghMxjPmigKpRUY0B6x"
I love my boyfriend.,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling love for their boyfriend.,,"Aw, I am happy of you. Here’s some art that will hopefully make your heart swell.",,,,,,,,"ttM3fSlVBEKsBKgpDDFy, BEghMxjPmigKpRUY0B6x"
I love my family!,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling a lot of love for their family.,"User is seeking art that reflects family, love and connections. Reminding them that in life; it’s the people and beings around us that matter most.",That love is so important. It’s so important to keep family close and cherish them.,,,,,,,,"ttM3fSlVBEKsBKgpDDFy, ECv9xW9u10JBogZctA4x"
I love my family.,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling love for their family.,"User is seeking art that reflects family, love and connections. Reminding them that in life; it’s the people and beings around us that matter most.",That love is so important. It’s so important to keep family close and cherish them.,,,,,,,,ttM3fSlVBEKsBKgpDDFy
I love my girlfriend!,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling a lot of love for their girlfriend.,User is seeking art that reflects love and connections. Reminding them that in life; it’s the people and beings around us that matter most.,"Aw, I am happy of you. Here’s some art that will hopefully make your heart swell.",,,,,,,,"ttM3fSlVBEKsBKgpDDFy, BEghMxjPmigKpRUY0B6x"
I love my girlfriend.,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling love for their girlfriend.,User is seeking art that reflects love and connections. Reminding them that in life; it’s the people and beings around us that matter most.,"Aw, I am happy of you. Here’s some art that will hopefully make your heart swell.",,,,,,,,"ttM3fSlVBEKsBKgpDDFy, BEghMxjPmigKpRUY0B6x"
I love my life.,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,0,1,0,User is feeling grateful to be alive.,,There is nothing better.,,,,,,,,BEghMxjPmigKpRUY0B6x
I love my partner!,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,0,1,0,User is feeling a lot of love for their partner.,,,,,,,,,,
I love winter!,,,,,,,1,,1,,,,,,,,,,,,,,,,,,0,1,0,User enjoys the winter season and cold weather.,,,,,,,,,,
I love winter.,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,1,0,User enjoys the winter season.,,,,,,,,,,
I need something to lift my spirits!,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User is stuck is emerging out of a cycle of negativity and is seeking validation and encouragement.,"User is seeking art that is solemn, and art that has movement and energy in order to get them motivated. ",Here's a piece to brighten your day and lift your spirits.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
I need something to lift my spirits.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User is stuck is emerging out of a cycle of negativity and is seeking validation and encouragement.,"User is seeking art that is solemn, and art that has movement and energy in order to get them motivated. ",Here's a piece to brighten your day and lift your spirits.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
I really enjoyed going out tonight.,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I really enjoyed going out.,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I really enjoyed the day.,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I really enjoyed the game tonight.,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I really let my team down tonight.,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,0,0,0,,,,,,,,,,
I want to get fired up this morning.,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,"User is waking to the morning, feeling positive, motivated, and is seeking further encouragement.",User is seeking art that has movement and energy; keeping them motivated. ,You are smart! So smart! Check out this ,,,,,,,,"TbdFRlmPgNrWwrD5jyjM, BEghMxjPmigKpRUY0B6x"
I want to live in a better world.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User finds the injustices of the world to be overwhelming an dis longing for a better place to exist; they are in need of support and solidarity.,,"It would truly be nice to live in the world that respects all life and people. Although it seems daunting, we can certainly gather his community in conquer of our problems without the hand of fascism.",,,,,,,,
I want to see art about being trans,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,HfFQTCaopQ8cK8mCXY4H
I want to see something cool.,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,0,1,0,User is feeling curious and inspired.,User is seeking art that will invoke awe.,,,,,,,,,
I want to see something mysterious.,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,,Nothing like diving into the mystery. Check out this art that will charge your imagination.,,,,,,,,
I wonder what class will be like tomorrow?,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,
I'm ecstatic about the opportunities ahead!,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling positive, motivated, and is seeking further encouragement.",,That's fantastic! Here's an uplifting piece to celebrate your optimism.,,,,,,,,BEghMxjPmigKpRUY0B6x
I'm full of energy and ready to take on the world!,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling energized, motivated, and is seeking further encouragement.",,Channel that energy with this vibrant and dynamic artwork.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
I’m going to pass this test!,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,User has a test coming up and they are feeling positive about what the outcome will be.,"User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.",,,,,,,,,
I'm happy to be alive!,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling positive, motivated, and is seeking further encouragement.","User is seeking art the is colorful, encouraging and lively. Reflecting their grateful, positive outlook on life.","Life is a wonderful thing, and we should respect it everywhere!",,,,,,,,"TbdFRlmPgNrWwrD5jyjM, BEghMxjPmigKpRUY0B6x"
I'm nervous.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User is seeking peace and balance to stabilize them.,,,,,,,,,,HfFQTCaopQ8cK8mCXY4H
I’m not going to pass the test…,,0,0,0,0,,0,0,0,0,0,0,0,,,1,,1,,1,1,,,1,,,1,0,0,User has a test coming up and they are feeling very negative about what the outcome will be.,,We won't always succeed at every single golden life. But it's in those moments that we are defined by our decisions to not quit. No matter what happens we can always do better next time.,1,0,0,1,0,1,1,
I'm not going to pass.,,0,0,0,0,,0,0,0,0,0,0,0,1,,1,,1,,1,1,,,1,,,1,0,0,User has a test coming up and they are feeling very negative about what the outcome will be.,,We won't always succeed at every single golden life. But it's in those moments that we are defined by our decisions to not quit. No matter what happens we can always do better next time.,1,0,0,1,0,1,1,
I'm ready for the game!,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,User is optimistic about the sports event happening. They are feeling excited and seeking more positive energy.,User is seeking art that reminds them of the honorable spirit of competition. Giving them motivation to play at their best and encourage their team.,"Oh ya! Today is going to be crazy exciting! Have fun, make all the memories you can, and don’t forget them! :)",,,,,,,,TbdFRlmPgNrWwrD5jyjM
I'm ready to ace this assessment!,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,0,1,0,User has a test coming up and they are feeling very positive about what the outcome will be.,"User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.","Oh ya!! You’ve been studying hard, and you are going to show them just how big your brain has become!",,,,,,,,TbdFRlmPgNrWwrD5jyjM
I'm ready to ace this test!,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,0,1,0,User has a test coming up and they are feeling very positive about what the outcome will be.,,"Oh ya!! You’ve been studying hard, and you are going to show them just how big your brain has become!",,,,,,,,TbdFRlmPgNrWwrD5jyjM
I'm really proud of my class!,,1,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I'm really proud of my class.,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I'm really proud of my team!,,1,,,,,1,,1,1,,,1,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
I'm sad.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,It's good to be vulnerable. Here's some art that may fill your heart.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
